Country,Series,YR2015,YR2016,YR2017,YR2018,YR2019
Nicaragua,Enforcing contracts: Cost (% of claim),26.8,26.8,26.8,26.8,26.8
Guatemala,Enforcing contracts: Cost (% of claim),26.5,26.5,26.5,26.5,26.5
Belize,Enforcing contracts: Cost (% of claim),27.5,27.5,27.5,27.5,27.5
St. Vincent and the Grenadines,Enforcing contracts: Cost (% of claim),30.3,30.3,30.3,30.3,30.3
Brazil,Enforcing contracts: Cost (% of claim),20.7,22.0,22.0,22.0,22.0
Bolivia,Enforcing contracts: Cost (% of claim),25.0,25.0,25.0,25.0,25.0
Haiti,Enforcing contracts: Cost (% of claim),42.6,42.6,42.6,42.6,42.6
Peru,Enforcing contracts: Cost (% of claim),41.2,41.2,41.2,41.2,41.2
Ecuador,Enforcing contracts: Cost (% of claim),27.2,27.2,27.2,27.2,27.2
Honduras,Enforcing contracts: Cost (% of claim),38.8,38.8,38.8,38.8,38.8
Grenada,Enforcing contracts: Cost (% of claim),32.6,32.6,32.6,32.6,32.6
Colombia,Enforcing contracts: Cost (% of claim),45.8,45.8,45.8,45.8,45.8
Argentina,Enforcing contracts: Cost (% of claim),22.5,22.5,22.5,22.5,22.5
Jamaica,Enforcing contracts: Cost (% of claim),50.0,50.0,50.2,50.2,50.2
El Salvador,Enforcing contracts: Cost (% of claim),28.4,28.4,28.4,28.4,28.4
Dominican Republic,Enforcing contracts: Cost (% of claim),40.9,40.9,40.9,40.9,40.9
Paraguay,Enforcing contracts: Cost (% of claim),30.0,30.0,30.0,30.0,30.0
St. Lucia,Enforcing contracts: Cost (% of claim),37.3,37.3,37.3,37.3,37.3
Costa Rica,Enforcing contracts: Cost (% of claim),24.3,24.3,24.3,24.3,24.3
Dominica,Enforcing contracts: Cost (% of claim),36.0,36.0,36.0,36.0,36.0
Mexico,Enforcing contracts: Cost (% of claim),33.0,33.0,33.0,33.0,33.0
Suriname,Enforcing contracts: Cost (% of claim),37.1,37.1,37.1,37.1,37.1
