Country,Series,YR2015,YR2016,YR2017,YR2018,YR2019
Nicaragua,Registering property: Cost (% of property value),5.0,5.0,6.0,6.0,6.0
Guatemala,Registering property: Cost (% of property value),3.7,3.7,3.7,3.7,3.6
Belize,Registering property: Cost (% of property value),4.8,4.8,4.8,4.8,4.8
St. Vincent and the Grenadines,Registering property: Cost (% of property value),11.8,11.8,11.8,11.8,11.8
Brazil,Registering property: Cost (% of property value),3.1,3.1,3.2,3.6,3.6
Bolivia,Registering property: Cost (% of property value),4.7,4.7,4.7,4.7,4.7
Haiti,Registering property: Cost (% of property value),7.1,7.0,6.9,6.8,6.8
Peru,Registering property: Cost (% of property value),3.9,3.9,3.9,3.9,3.9
Ecuador,Registering property: Cost (% of property value),2.1,2.1,2.1,2.1,2.1
Honduras,Registering property: Cost (% of property value),5.7,5.7,5.7,5.7,5.7
Grenada,Registering property: Cost (% of property value),7.4,7.4,7.4,7.4,7.4
Colombia,Registering property: Cost (% of property value),1.9,1.9,2.0,2.0,2.0
Argentina,Registering property: Cost (% of property value),6.6,6.6,6.6,6.6,6.6
Jamaica,Registering property: Cost (% of property value),9.8,9.8,9.8,9.8,2.8
El Salvador,Registering property: Cost (% of property value),3.8,3.8,3.8,3.8,3.8
Dominican Republic,Registering property: Cost (% of property value),3.7,3.5,3.4,3.4,3.4
Paraguay,Registering property: Cost (% of property value),1.9,1.8,1.8,1.8,1.8
St. Lucia,Registering property: Cost (% of property value),7.6,7.6,7.1,7.2,7.2
Costa Rica,Registering property: Cost (% of property value),3.4,3.4,3.4,3.4,3.4
Dominica,Registering property: Cost (% of property value),13.3,13.3,13.3,13.3,13.3
Mexico,Registering property: Cost (% of property value),5.2,5.2,5.6,5.8,5.9
Suriname,Registering property: Cost (% of property value),13.7,13.7,14.2,14.2,14.2
